Date,Open,High,Low,Close
11/18/17,7677.17,7862.62,7450,7776.54
11/17/17,7852.44,7993,7550,7677.17
11/16/17,7286.93,7990,7131.5,7852.44
11/15/17,6606.75,7367.94,6606.75,7286.93
11/14/17,6550.76,6761.59,6479.93,6606.75
11/13/17,5849.37,6804.87,5800,6550.76
11/12/17,6340,6500,5450,5849.37
11/11/17,6585.11,6850,6184.63,6340
11/10/17,7151.49,7335.05,6420,6585.11
11/9/17,7465.53,7478.57,7101.02,7151.49
11/8/17,7109.7,7950.03,7050.11,7465.53
11/7/17,6975.01,7234.68,6975,7109.7
11/6/17,7394.44,7410,6947.63,6975.01
11/5/17,7371.55,7589.79,7300,7394.44
11/4/17,7177.28,7511.34,7099.01,7371.55
11/3/17,7037.48,7448.78,6952.59,7177.28
11/2/17,6741.02,7336,6730,7037.48
11/1/17,6448.36,6750,6365,6741.02
10/31/17,6124.69,6467.32,6097.8,6448.36
10/30/17,6132.76,6204.6,6025.25,6124.69
10/29/17,5730.01,6295.03,5699.33,6132.76
10/28/17,5765.32,5884.97,5660.79,5730.01
10/27/17,5889.42,5992.01,5703.08,5765.32
10/26/17,5741.66,5992.51,5692,5889.42
10/25/17,5517.21,5750.97,5375,5741.66
10/24/17,5899.6,5903,5464,5517.21
10/23/17,5974.97,6060.28,5625.31,5899.6
10/22/17,6012.58,6069.67,5750,5974.97
10/21/17,5984.03,6178.79,5900.01,6012.58
10/20/17,5695.01,6050,5615,5984.03
10/19/17,5569.33,5745.03,5512.9,5695.01
10/18/17,5592.26,5604.05,5082.24,5569.33
10/17/17,5748.56,5769.99,5513.45,5592.26
10/16/17,5694.61,5778.35,5575,5748.56
10/15/17,5799.99,5833.72,5450,5694.61
10/14/17,5636.28,5800,5555.89,5799.99
10/13/17,5437.68,5868.78,5390.93,5636.28
10/12/17,4813.85,5437.69,4811.06,5437.68
10/11/17,4756.22,4864.67,4720,4813.85
10/10/17,4751.08,4919.01,4712.11,4756.22
10/9/17,4602.5,4875,4550,4751.08
10/8/17,4425.01,4609,4412.42,4602.5
10/7/17,4362.42,4448,4320.01,4425.01
10/6/17,4318.57,4410.26,4300,4362.42
10/5/17,4214.25,4360.38,4145,4318.57
10/4/17,4300,4339.98,4175,4214.25
10/3/17,4385.7,4417.98,4104.51,4300
10/2/17,4388.74,4457.01,4361,4385.7
10/1/17,4327.63,4399,4250,4388.74
9/30/17,4182.89,4339.99,4182.89,4327.63
9/29/17,4188,4209.85,4020,4182.9
9/28/17,4204.51,4281.6,3336.67,4188
9/27/17,3885.14,4225,3876.01,4204.51
9/26/17,3916.48,3958.06,3852.61,3885.14
9/25/17,3667.99,3956.86,3665.98,3916.48
9/24/17,3783.6,3783.61,3619.76,3667.99
9/23/17,3620.96,3812.88,3562.8,3783.6
9/22/17,3616.74,3758.12,3510.84,3620.96
9/21/17,3866,3899.86,3573,3616.74
9/20/17,3903.4,4034.99,3828.93,3866
9/19/17,4098.03,4117.03,3850,3903.4
9/18/17,3716.46,4115.93,3716.45,4098.03
9/17/17,3715.38,3825.54,3505.94,3716.46
9/16/17,3709.85,3854.7,3580.01,3715.38
9/15/17,3242.63,3839.19,2955.01,3709.85
9/14/17,3855.01,3920.2,3219.89,3242.63
9/13/17,4155.55,4173.78,3743.75,3855.01
9/12/17,4209.69,4372.05,4070.01,4155.55
9/11/17,4243.48,4370.28,4110.48,4209.69
9/10/17,4325.17,4329.97,4083.55,4243.48
9/9/17,4346.24,4405,4182.16,4325.17
9/8/17,4623.19,4669.98,4000,4346.24
9/7/17,4609.17,4665.23,4484.68,4623.19
9/6/17,4393,4645,4380.78,4609.17
9/5/17,4278.86,4494.6,4012.02,4393
9/4/17,4607.47,4614.36,4100,4278.86
9/3/17,4642.85,4740.41,4460.05,4607.47
9/2/17,4924,4985,4505,4642.85
9/1/17,4736.28,4924,4709.28,4924
8/31/17,4583.85,4762.76,4579.91,4736.28
8/30/17,4589.99,4641.43,4495.05,4583.85
8/29/17,4379.96,4705.07,4345.13,4589.99
8/28/17,4340.88,4400,4202.48,4379.96
8/27/17,4371.25,4371.26,4321.86,4340.88
8/26/17,4371.25,4371.25,4371.25,4371.25
8/25/17,4313.21,4480.01,4284.83,4371.25
8/24/17,4147.1,4350,4108.82,4313.21
8/23/17,4093.28,4250.02,4066.23,4147.1
8/22/17,3993.87,4140.05,3600.01,4093.28
8/21/17,4049.98,4073.73,3943.44,3993.87
8/20/17,4145.11,4168.88,4010.8,4049.98
8/19/17,4102.48,4184.8,3985,4145.11
8/18/17,4284.45,4355,3971.01,4102.48
8/17/17,4322.44,4474,4226.99,4284.45
8/16/17,4154.84,4364.05,3935.01,4322.44
8/15/17,4318.3,4436.01,3821.85,4154.84
8/14/17,4046.34,4325,3961.65,4318.3
8/13/17,3863.3,4174.48,3843.72,4046.34
8/12/17,3639.99,3972.53,3594.31,3863.3
